Nodo,Stage,Probability,Gamma,Wealth,stock1,stock2,bond,money
n62,5,0.0312,1.000000,91979.57,7171.882662,19677.304701,7649.624614,57480.754381
n63,6,0.0156,1.000000,97647.24,14071.679998,45825.123663,18651.359340,19099.080658
n64,6,0.0156,1.000000,93344.78,7385.089881,36835.614630,11035.351565,38088.723955
n65,6,0.0156,1.000000,84084.59,9370.030561,27641.965111,19898.911890,27173.679117
n66,6,0.0156,1.000000,101747.67,41924.630944,28865.194050,17268.948938,13688.893190
n67,6,0.0156,1.000000,107121.18,59620.284413,24707.646131,9313.801575,13479.444408
n68,6,0.0156,1.000000,109489.46,5263.484875,13961.437000,14048.382097,76216.158501
n69,6,0.0156,1.000000,99244.85,6365.494670,9551.625467,29858.953833,53468.771183
n70,6,0.0156,1.000000,96467.19,9604.529361,12474.246402,44027.740239,30360.671683
n71,6,0.0156,1.000000,102822.57,52060.682734,14413.199268,16437.865523,19910.820056
n72,6,0.0156,1.000000,103345.92,7639.692009,3242.080119,38670.643030,53793.509783
n73,6,0.0156,1.000000,101964.29,10680.612357,11540.059469,21017.634028,58725.984687
n74,6,0.0156,1.000000,89962.83,6900.644285,10953.154532,27591.624008,44517.410546
n75,6,0.0156,1.000000,77610.39,19769.216565,18008.633834,14910.934763,24921.605855
n76,6,0.0156,1.000000,86005.45,21879.031198,18205.031679,19072.765052,26848.626484
n77,6,0.0156,1.000000,93426.82,7989.879545,9585.042941,23771.937519,52079.956030
n78,6,0.0156,1.000000,95178.49,12071.698621,11111.842395,21983.395431,50011.557648
n79,6,0.0156,1.000000,96187.93,7990.481640,9199.195053,47478.854353,31519.399138
n80,6,0.0156,1.000000,92669.21,8391.263037,47112.128215,16327.201009,20838.617597
n81,6,0.0156,1.000000,112291.86,4725.546881,7538.306816,27037.050292,72990.951767
n82,6,0.0156,1.000000,110044.14,7882.386049,5252.257555,48444.323758,48465.170151
n83,6,0.0156,1.000000,93486.59,9419.026969,6914.736355,23343.469914,53809.359411
n84,6,0.0156,1.000000,89262.87,17504.402258,41951.633045,10580.058121,19226.772276
n85,6,0.0156,1.000000,98109.32,28960.980604,12710.733814,16728.508400,39709.094893
n86,6,0.0156,1.000000,103137.74,57171.785030,8987.732575,17849.406471,19128.811267
n87,6,0.0156,1.000000,106849.95,5495.075868,10403.974679,58702.308618,32248.588458
n88,6,0.0156,1.000000,108704.62,21262.896985,65795.914140,9220.628980,12425.177979
n89,6,0.0156,1.000000,99850.87,50350.070129,14427.775385,14460.308886,20612.711080
n90,6,0.0156,1.000000,98794.85,6158.394460,7246.431697,43310.698055,42079.325205
n91,6,0.0156,1.000000,103857.81,18459.232179,8422.297047,29763.141120,47213.137703
n92,6,0.0156,1.000000,104352.67,8162.601821,16240.760362,16049.998510,63899.312737
n93,6,0.0156,1.000000,97056.16,41917.026998,12918.191675,20547.763438,21673.174086
n94,6,0.0156,1.000000,121564.06,3011.427919,7984.275914,54361.172200,56207.182423
n95,6,0.0156,1.000000,99282.83,8662.311414,12490.049741,27964.920181,50165.543823
n96,6,0.0156,1.000000,105728.84,2786.832346,58682.100939,11651.044831,32608.864351
n97,6,0.0156,1.000000,84500.27,14614.188571,34320.428035,14505.428464,21060.220317
n98,6,0.0156,1.000000,83345.05,7441.069278,18149.309718,28991.253676,28763.416499
n99,6,0.0156,1.000000,107123.46,7852.276091,15039.330286,34742.000214,49489.855108
n100,6,0.0156,1.000000,109987.28,46576.139643,12835.479994,15112.054614,35463.606065
n101,6,0.0156,1.000000,115811.04,4435.641301,78028.813551,10924.667077,22421.915681
n102,6,0.0156,1.000000,102433.29,3972.651805,41031.543244,34493.124307,22935.970852
n103,6,0.0156,1.000000,117581.29,2241.956460,7511.628113,29394.634669,78433.069532
n104,6,0.0156,1.000000,106870.27,53996.742462,8293.697798,12363.051080,32216.781963
n105,6,0.0156,1.000000,112692.57,9213.450363,10647.773648,66630.516493,26200.825126
n106,6,0.0156,1.000000,112152.66,2917.293153,6353.531736,37942.823841,64939.008446
